,SCH_ID,SCH_NAME,PSGC_PROV,PSGC_MUNI,PSGC_BRGY,LAT,LONG,address_type,geometry,SCH_CAT_CES,SCH_CAT_ES,SCH_CAT_JHS,SCH_CAT_MD,SCH_CAT_PES,SCH_CAT_PJHS,SCH_CAT_PS,SCH_CAT_PSHS,SCH_CAT_SHS,SCH_CAT_SUC,CES_SCH_PROV,ES_SCH_PROV,JHS_SCH_PROV,MD_SCH_PROV,PES_SCH_PROV,PJHS_SCH_PROV,PS_SCH_PROV,PSHS_SCH_PROV,SHS_SCH_PROV,SUC_SCH_PROV,CES_SCH_MUNI,ES_SCH_MUNI,JHS_SCH_MUNI,MD_SCH_MUNI,PES_SCH_MUNI,PJHS_SCH_MUNI,PS_SCH_MUNI,PSHS_SCH_MUNI,SHS_SCH_MUNI,SUC_SCH_MUNI,CES_SCH_BRGY,ES_SCH_BRGY,JHS_SCH_BRGY,MD_SCH_BRGY,PES_SCH_BRGY,PJHS_SCH_BRGY,PS_SCH_BRGY,PSHS_SCH_BRGY,SHS_SCH_BRGY,SUC_SCH_BRGY,BRGY_SCHOOLS,brgy_area,schools_over_brgy_area,MUNI_SCHOOLS,muni_area,schools_over_muni_area,PROV_SCHOOLS,prov_area,schools_over_prov_area,Pop2010,Pop2015,HH_pop,num_hh0,num_hh0_mal,num_hh0_fem,Total_Pop,Male_Pop,Female_Pop,Total_under10,Total_10to20,Total_21to30,Total_31to60,Total_over60,Female_under10,Female_10to20,Female_21to30,Female_31to60,Female_over60,Male_under10,Male_10to20,Male_21to30,Male_31to60,Male_over60
243,133316,Baugan PS,PH153600000,PH153611000,PH153611011,7.858734,124.384645,given,POINT (124.384645 7.858734),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,3.0,10.0,4.0,2.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.12638147514446352,7.912552048129878,35,262.9889883084503,0.13308542013534713,978,3836.238356446714,0.25493723515810546,621.0,683.0,683.0,106.0,101.0,5.0,683.0,333.0,350.0,271.0,172.0,88.0,142.0,10.0,141.0,90.0,53.0,63.0,3.0,130.0,82.0,35.0,79.0,7.0
244,133278,Bayabao Ramain ES,PH153600000,PH153624000,PH153624009,7.979876,124.354574,given,POINT (124.354574 7.979876),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,10.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.3294678663952612,3.035197365197079,21,18.964883429857018,1.1073097326260932,978,3836.238356446714,0.25493723515810546,472.0,579.0,579.0,93.0,85.0,8.0,579.0,281.0,298.0,223.0,128.0,86.0,132.0,10.0,119.0,61.0,48.0,65.0,5.0,104.0,67.0,38.0,67.0,5.0
245,133227,Bliss PS,PH153600000,PH153603000,PH153603055,7.909052,124.190833,given,POINT (124.190833 7.909052),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0.260933572736414,7.664786018242008,36,40.419892674702794,0.8906505588653126,978,3836.238356446714,0.25493723515810546,1243.0,1271.0,1271.0,158.0,147.0,11.0,1271.0,617.0,654.0,419.0,333.0,175.0,315.0,29.0,220.0,175.0,95.0,151.0,13.0,199.0,158.0,80.0,164.0,16.0
246,133430,Bobo ES,PH153600000,PH153621000,PH153621006,8.011945,124.237858,given,POINT (124.237858 8.011945000000001),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,5.0,2.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2,2.293914334107401,0.8718721402376312,33,122.86179550507296,0.26859447938507,978,3836.238356446714,0.25493723515810546,599.0,811.0,811.0,124.0,111.0,13.0,811.0,423.0,388.0,228.0,217.0,124.0,215.0,27.0,104.0,100.0,64.0,106.0,14.0,124.0,117.0,60.0,109.0,13.0
247,133405,Bobong Bagoingud ES,PH153600000,PH153619000,PH153601007,7.91549,124.349894,given,POINT (124.349894 7.91549),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,1.0,3.0,2.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7,0.12151194223504395,57.60750648244684,14,12.945548716785453,1.0814528071604508,978,3836.238356446714,0.25493723515810546,,,,,,,,,,,,,,,,,,,,,,,,
248,133491,Bocalan PS,PH153600000,PH153626000,PH153626001,7.890657,124.326952,given,POINT (124.326952 7.890657),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,6.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.16763873298860577,5.965208530107233,18,8.64281006772877,2.08265597172034,978,3836.238356446714,0.25493723515810546,431.0,507.0,507.0,79.0,74.0,5.0,507.0,229.0,278.0,195.0,137.0,55.0,108.0,12.0,118.0,66.0,36.0,51.0,7.0,77.0,71.0,19.0,57.0,5.0
249,133336,Bolao PS,PH153600000,PH153616000,PH153616023,7.940278,124.223056,given,POINT (124.223056 7.940278),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,13.0,3.0,1.0,1.0,1.0,17.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,6,1.8786134582133274,3.193844893300379,40,35.492570775302234,1.126996414354812,978,3836.238356446714,0.25493723515810546,1661.0,1787.0,1787.0,251.0,218.0,33.0,1787.0,891.0,896.0,424.0,491.0,310.0,454.0,108.0,218.0,231.0,159.0,239.0,49.0,206.0,260.0,151.0,215.0,59.0
250,133326,Bolao-Dilausan CES,PH153600000,PH153634000,PH153634004,7.889073,124.364042,given,POINT (124.364042 7.889073),1,0,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,7.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,0.6448005675014831,3.1017342428058576,23,294.14142572914864,0.07819367823823246,978,3836.238356446714,0.25493723515810546,923.0,1082.0,1082.0,154.0,143.0,11.0,1082.0,510.0,572.0,349.0,252.0,171.0,276.0,34.0,191.0,133.0,91.0,139.0,18.0,158.0,119.0,80.0,137.0,16.0
251,133215,Borakis PS,PH153600000,PH153603000,PH153603013,7.893273,124.20935,given,POINT (124.20935 7.893273),0,0,0,0,0,0,1,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,12.0,0.0,0.0,0.0,0.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.2821667680235021,3.54400345230133,36,40.419892674702794,0.8906505588653126,978,3836.238356446714,0.25493723515810546,432.0,493.0,493.0,69.0,63.0,6.0,493.0,236.0,257.0,138.0,126.0,36.0,175.0,18.0,71.0,67.0,22.0,87.0,10.0,67.0,59.0,14.0,88.0,8.0
252,133505,Boriongan ES,PH153600000,PH153627000,PH153627006,7.886845,124.342438,given,POINT (124.342438 7.886845),0,1,0,0,0,0,0,0,0,0,74.0,288.0,87.0,19.0,44.0,32.0,333.0,26.0,54.0,20.0,2.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.10123127179536798,9.878370411283885,21,9.780159018727757,2.1472043511549943,978,3836.238356446714,0.25493723515810546,337.0,407.0,407.0,56.0,44.0,12.0,407.0,185.0,222.0,123.0,114.0,60.0,96.0,14.0,74.0,54.0,30.0,55.0,9.0,49.0,60.0,30.0,41.0,5.0
