,Unnamed: 0,category,subcategory,name,geometry,lon,lat
826,682,education,elem_HS,Bakkaw-bakkaw Primary School,POINT (120.0564927 5.2562775),120.0564927,5.2562775
827,683,education,elem_HS,Darussalam Primary School,POINT (120.0863224 5.2509006),120.0863224,5.2509006
828,684,education,elem_HS,Pamasan Primary School,POINT (120.2867041 5.107135),120.2867041,5.107135
829,685,education,elem_HS,Bukut Primary School,POINT (120.2493771 5.0712073),120.2493771,5.0712073
831,687,education,elem_HS,Bato Primary School,POINT (120.255712 5.2557429),120.255712,5.2557429
832,688,education,elem_HS,Nusa-nusa Primary School,POINT (120.6422027 5.2230059),120.6422027,5.2230059
838,694,education,elementary,Bulod Elementary School,POINT (124.6605027 6.8795888),124.6605027,6.8795888
839,695,education,HS,Bulod National High School,POINT (124.6598589 6.8794716),124.6598589,6.8794716
848,704,education,elem_HS,Hadji Yahya I. Pailan Primary School,POINT (119.8651541 5.1513523),119.8651541,5.1513523
849,705,education,elem_HS,Sitimpah Primary School Annex,POINT (119.7928937 5.0659815),119.7928937,5.0659815
850,706,education,elem_HS,Lupa Pula Primary School,POINT (119.8221006 5.0751249),119.8221006,5.0751249
851,707,education,elem_HS,Logpond Primary School,POINT (119.8133492 5.0726114),119.8133492,5.0726114
852,708,education,elem_HS,Lato-lato Primary School,POINT (119.7893417 5.0509359),119.7893417,5.0509359
853,709,education,elem_HS,Pakias Primary School,POINT (119.7545852 5.0380837),119.7545852,5.0380837
854,710,education,elementary,Luuk Pangdan Elementary School,POINT (119.7573713 5.0537619),119.7573713,5.0537619
855,711,education,elem_HS,Tawi-tawi School of Arts and Trades,POINT (119.7715555 5.0258742),119.7715555,5.0258742
856,712,education,elementary,Pag-asa Elementary School,POINT (119.7704746 5.0264038),119.7704746,5.0264038
857,713,education,elementary,Bongao Central Elementary School,POINT (119.7720063 5.028119),119.7720063,5.028119
858,714,education,elementary,Bongao Elementary School,POINT (119.7712278 5.0273075),119.7712278,5.0273075
859,715,education,elementary,Bongao Central Laboratory Elementary School,POINT (119.7723467 5.028449),119.7723467,5.028449
860,716,education,elem_HS,Datu Halun Laboratory School,POINT (119.772584 5.0285826),119.772584,5.0285826
861,717,education,elementary,Datu Halun Pilot Elementary School,POINT (119.7730814 5.0281872),119.7730814,5.0281872
862,718,education,elementary,Datu Halun Central Elementary School,POINT (119.7725291 5.0273557),119.7725291,5.0273557
863,719,education,elementary,Luuk Banca Elementary School,POINT (119.7669644 5.0305083),119.7669644,5.0305083
866,722,education,elem_HS,Lupahpula Primary School Annex II,POINT (121.8186737 6.140408),121.8186737,6.140408
867,723,education,elementary,Lubbak Elementary School,POINT (121.8530825 6.1345266),121.8530825,6.1345266
868,724,education,elem_HS,Bakkaan Primary School,POINT (121.5240522 5.9945879),121.5240522,5.9945879
869,725,education,elementary,East Tattalan Elementary School,POINT (121.8442396 6.2293818),121.8442396,6.2293818
870,726,education,HS,Tongkil National High School,POINT (121.784175 6.0706871),121.784175,6.0706871
871,727,education,elem_HS,Sipak Primary School,POINT (121.6575901 6.0023076),121.6575901,6.0023076
879,735,education,elementary,Lahing-lahing Elementary School,POINT (121.4149683 5.9962363),121.4149683,5.9962363
880,736,education,elementary,Kasulutan Elementary School,POINT (121.3800114 5.932567),121.3800114,5.932567
881,737,education,elem_HS,Kanpagayoh Primary School Annex,POINT (121.2946032 5.9266482),121.2946032,5.9266482
882,738,education,elementary,Sapah Linsungan Elementary School,POINT (122.0813885 6.6631009),122.0813885,6.6631009
883,739,education,elem_HS,Mangal-mangal Primary School,POINT (121.2872999 5.9099289),121.2872999,5.9099289
886,742,education,elem_HS,Bucalao Primary School,POINT (122.1900961 6.4783375),122.1900961,6.4783375
889,745,education,elementary,Sinangkapan Elementary School,POINT (122.19042 6.6098503),122.19042,6.6098503
890,746,education,elementary,Calut Elementary School,POINT (122.19674 6.6053017),122.19674,6.6053017
