,amenity,name,geometry,lon,lat
145,bank,One Network Bank,POINT (123.4866287 8.0975524),123.4866287,8.0975524
146,bank,One Network Bank,POINT (124.597504 6.6324687),124.597504,6.6324687
147,bank,PNB,POINT (125.0918567 7.9045812),125.0918567,7.9045812
148,bank,One Network Bank,POINT (125.0896908 7.9054194),125.0896908,7.9054194
149,bank,Asia United Bank,POINT (125.4954259 7.0136847),125.4954259,7.0136847
150,bank,Security Bank,POINT (125.4956602 7.0136914),125.4956602,7.0136914
151,bank,Security Bank,POINT (124.6388562 8.48705),124.6388562,8.48705
152,bank,Partner's Rural Bank Of Pigcawayan,POINT (124.4228572 7.2774746),124.4228572,7.2774746
153,bank,Cooperative Bank Of Pigcawayan,POINT (124.4221251 7.2776451),124.4221251,7.2776451
154,bank,PS Bank,POINT (125.1792307 6.1118562),125.1792307,6.1118562
155,bank,PNB,POINT (125.1792495 6.1115028),125.1792495,6.1115028
156,bank,UCPB,POINT (125.1792441 6.1094959),125.1792441,6.1094959
157,bank,China Bank Savings,POINT (125.1792522 6.1128883),125.1792522,6.1128883
158,bank,PBCom,POINT (125.1792535 6.1144498),125.1792535,6.1144498
159,bank,EastWest Bank,POINT (125.1792321 6.1146706),125.1792321,6.1146706
160,bank,Asia United Bank,POINT (125.1792347 6.1148026),125.1792347,6.1148026
161,bank,Bank of the Philippine Islands,POINT (125.1797354 6.1177284),125.1797354,6.1177284
162,bank,China Bank,POINT (125.1798763 6.11398),125.1798763,6.11398
163,bank,PNB,POINT (122.0794587 6.9142022),122.0794587,6.9142022
164,bank,Banco Cooperativa de Zamboanga,POINT (122.0786046 6.9215671),122.0786046,6.9215671
165,bank,Landbank,POINT (122.0796508 6.9123195),122.0796508,6.9123195
166,bank,Philippine Bank of Commerce,POINT (122.0766748 6.9041154),122.0766748,6.9041154
167,bank,RCBC,POINT (122.0778336 6.9066397),122.0778336,6.9066397
168,bank,Zamboanga City Rural Bank,POINT (122.0761853 6.906582),122.0761853,6.906582
169,bank,Union Bank,POINT (122.0733643 6.910213),122.0733643,6.910213
170,bank,PNB,POINT (122.0763344 6.9147864),122.0763344,6.9147864
171,bank,Bank of the Philippine Island,POINT (122.0897809 6.9311623),122.0897809,6.9311623
172,bank,Rural Bank of Siocon Inc.,POINT (122.0857789 6.9289898),122.0857789,6.9289898
173,bank,Maybank,POINT (122.0794152 6.9171983),122.0794152,6.9171983
174,bank,Metrobank,POINT (122.0749871 6.906996),122.0749871,6.906996
175,bank,Philippine Business Bank,POINT (122.0793316 6.9152758),122.0793316,6.9152758
176,bank,PNB,POINT (122.0795881 6.9154318),122.0795881,6.9154318
177,bank,Philippine Bank of Communication,POINT (122.0791637 6.9157216),122.0791637,6.9157216
178,bank,BDO,POINT (122.079199 6.9159116),122.079199,6.9159116
179,bank,Amanah Islamic Bank,POINT (122.0791852 6.9164039),122.0791852,6.9164039
180,bank,RCBC,POINT (122.0789305 6.9189859),122.0789305,6.9189859
181,bank,EastWest Unibank,POINT (122.0772343 6.9038035),122.0772343,6.9038035
182,bank,RCBC,POINT (122.0770596 6.9070823),122.0770596,6.9070823
183,bank,Chinabank,POINT (122.088152 6.9300342),122.088152,6.9300342
184,bank,Asia United Bank,POINT (122.0752664 6.9057936),122.0752664,6.9057936
185,bank,Philippine Savings Bank,POINT (122.0775793 6.9059493),122.0775793,6.9059493
186,bank,BDO,POINT (122.0771248 6.9044145),122.0771248,6.9044145
187,bank,One Network Bank,POINT (125.0042746 7.760434),125.0042746,7.760434
188,bank,UnionBank,POINT (125.1714916 6.1074942),125.1714916,6.1074942
189,bank,One Network Bank,POINT (125.4553424 7.1904272),125.4553424,7.1904272
190,bank,One Network Bank,POINT (124.2449886 8.226183199999999),124.2449886,8.2261832
191,bank,One Network Bank,POINT (123.7726408 7.9244356),123.7726408,7.9244356
192,bank,One Network Bank,POINT (123.8428528 8.1435885),123.8428528,8.1435885
193,bank,One Network Bank,POINT (124.751084 8.5020959),124.751084,8.5020959
194,bank,One Network Bank,POINT (125.0528572 7.2430419),125.0528572,7.2430419
