,PSGC_PROV,PROV,PSGC_CITY/MUNI,CITY/MUNI,PSGC_BRGY,BRGY,brgy_address
1406,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802001, Ampuan                                                                                                                                                                                                                                                         , Ampuan                                                                                                                                                                                                                                                           BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1407,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802002, Aratuc                                                                                                                                                                                                                                                         , Aratuc                                                                                                                                                                                                                                                           BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1408,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802005, Cabayuan                                                                                                                                                                                                                                                       , Cabayuan                                                                                                                                                                                                                                                         BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1409,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802007, Calaan (Pob.)                                                                                                                                                                                                                                                  , Calaan (Pob.)                                                                                                                                                                                                                                                    BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1410,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802008, Karim                                                                                                                                                                                                                                                          , Karim                                                                                                                                                                                                                                                            BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1411,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802009, Dinganen                                                                                                                                                                                                                                                       , Dinganen                                                                                                                                                                                                                                                         BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1412,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802011, Edcor (Gallego Edcor)                                                                                                                                                                                                                                          , Edcor (Gallego Edcor)                                                                                                                                                                                                                                            BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1413,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802012, Kulimpang                                                                                                                                                                                                                                                      , Kulimpang                                                                                                                                                                                                                                                        BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1414,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802017, Mataya                                                                                                                                                                                                                                                         , Mataya                                                                                                                                                                                                                                                           BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1415,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802018, Minabay                                                                                                                                                                                                                                                        , Minabay                                                                                                                                                                                                                                                          BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1416,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802020, Nuyo                                                                                                                                                                                                                                                           , Nuyo                                                                                                                                                                                                                                                             BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1417,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802021, Oring                                                                                                                                                                                                                                                          , Oring                                                                                                                                                                                                                                                            BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1418,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802022, Pantawan                                                                                                                                                                                                                                                       , Pantawan                                                                                                                                                                                                                                                         BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1419,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802023, Piers                                                                                                                                                                                                                                                          , Piers                                                                                                                                                                                                                                                            BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1420,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153802000, BULDON                                                                                                                                                                                                                                                         ,PH153802025, Rumidas                                                                                                                                                                                                                                                        , Rumidas                                                                                                                                                                                                                                                          BULDON                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1421,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803008, Digal                                                                                                                                                                                                                                                          , Digal                                                                                                                                                                                                                                                            BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1422,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803023, Lower Siling                                                                                                                                                                                                                                                   , Lower Siling                                                                                                                                                                                                                                                     BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1423,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803030, Maslabeng                                                                                                                                                                                                                                                      , Maslabeng                                                                                                                                                                                                                                                        BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1424,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803039, Poblacion                                                                                                                                                                                                                                                      , Poblacion                                                                                                                                                                                                                                                        BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1425,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803040, Popol                                                                                                                                                                                                                                                          , Popol                                                                                                                                                                                                                                                            BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1426,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803045, Talitay                                                                                                                                                                                                                                                        , Talitay                                                                                                                                                                                                                                                          BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1427,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153803000, BULUAN                                                                                                                                                                                                                                                         ,PH153803054, Upper Siling                                                                                                                                                                                                                                                   , Upper Siling                                                                                                                                                                                                                                                     BULUAN                                                                                                                                                                                                                                                           MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1428,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805001, Alip (Pob.)                                                                                                                                                                                                                                                    , Alip (Pob.)                                                                                                                                                                                                                                                      DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1429,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805003, Damawato                                                                                                                                                                                                                                                       , Damawato                                                                                                                                                                                                                                                         DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1430,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805004, Katil                                                                                                                                                                                                                                                          , Katil                                                                                                                                                                                                                                                            DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1431,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805006, Malala                                                                                                                                                                                                                                                         , Malala                                                                                                                                                                                                                                                           DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1432,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805007, Mangadeg                                                                                                                                                                                                                                                       , Mangadeg                                                                                                                                                                                                                                                         DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1433,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805008, Manindolo                                                                                                                                                                                                                                                      , Manindolo                                                                                                                                                                                                                                                        DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
1434,PH153800000, MAGUINDANAO                                                                                                                                                                                                                                                    ,PH153805000, DATU PAGLAS                                                                                                                                                                                                                                                    ,PH153805010, Puya                                                                                                                                                                                                                                                           , Puya                                                                                                                                                                                                                                                             DATU PAGLAS                                                                                                                                                                                                                                                      MAGUINDANAO                                                                                                                                                                                                                                                     PHILIPPINES
